Date,Open,High,Low,Close,Adj Close,Volume
10/26/2023,3368.050049,3373.699951,3330,3336.75,3297.393799,1984471
10/27/2023,3350,3362,3337,3350.949951,3311.426025,1108851
10/30/2023,3350,3382.850098,3333.75,3378.550049,3338.700928,910972
10/31/2023,3399,3399,3350.050049,3368.75,3329.016357,999811
11/1/2023,3355,3371.600098,3311,3330.649902,3291.365479,1563475
11/2/2023,3343.199951,3375.949951,3343.199951,3360.100098,3320.468506,1245384
11/3/2023,3382,3387.899902,3344.300049,3350.899902,3311.376709,1402598
11/6/2023,3375,3392.300049,3359,3380.25,3340.380615,1099852
11/7/2023,3378,3404.149902,3366,3370.449951,3330.696289,1191144
11/8/2023,3371.449951,3401.949951,3369.550049,3381.550049,3341.665283,992899
11/9/2023,3390.100098,3391.5,3342.050049,3347.449951,3307.967529,2112352
11/10/2023,3338,3347.449951,3322.350098,3333.449951,3294.132813,1338557
11/13/2023,3356,3356,3327,3331.550049,3292.255127,1030990
11/15/2023,3383.100098,3413,3356.050049,3404.300049,3364.147217,2059802
11/16/2023,3430.050049,3529.350098,3414.199951,3497.850098,3456.59375,3951984
11/17/2023,3497.850098,3524.5,3492.550049,3502.449951,3461.139404,2021292
11/20/2023,3491.25,3533.899902,3491.25,3519.600098,3478.087158,1475621
11/21/2023,3519.600098,3539.050049,3501,3510.199951,3468.797852,1807236
11/22/2023,3500,3532.649902,3481.100098,3530.149902,3488.512451,1798051
11/23/2023,3530,3544,3500,3508.25,3466.87085,2729804
11/24/2023,3494.25,3504.550049,3453,3457.100098,3416.324219,1989733
11/28/2023,3457.100098,3481.25,3433,3470.149902,3429.220215,1689195
11/29/2023,3481,3518,3475.800049,3513.75,3472.306152,1441634
11/30/2023,3499.449951,3516.649902,3481,3487.600098,3446.4646,3266235
12/1/2023,3500,3516.949951,3490.050049,3511.649902,3470.230713,1172141
12/4/2023,3544.649902,3547.800049,3498,3512.449951,3471.02124,1625213
12/5/2023,3538,3538,3502.800049,3531.600098,3489.945557,1377656
12/6/2023,3532.600098,3612.850098,3525.149902,3604.100098,3561.590332,1896572
12/7/2023,3605,3630.550049,3591.699951,3614.899902,3572.262939,1967653
12/8/2023,3633,3645,3602.050049,3626.699951,3583.923584,1641155
12/11/2023,3622.899902,3653,3615,3642.899902,3599.932861,1102503
12/12/2023,3638.949951,3698.399902,3631,3672.100098,3628.788574,2236866
12/13/2023,3643.550049,3650,3563,3593.550049,3551.164795,3850968
12/14/2023,3630,3678,3627.600098,3667.25,3623.995605,3290396
12/15/2023,3666.699951,3895.949951,3666.699951,3861,3815.460449,8531230
12/18/2023,3858.100098,3929,3830.149902,3859.199951,3813.681641,2521612
12/19/2023,3845,3855.100098,3790,3816.199951,3771.188721,2004435
12/20/2023,3827.25,3898.800049,3766.550049,3780.050049,3735.465088,2586083
12/21/2023,3756.25,3806.699951,3743.350098,3787.5,3742.827393,1517562
12/22/2023,3800,3845.949951,3762,3824,3778.896729,2413058
12/26/2023,3819.850098,3834,3790.149902,3795.550049,3750.782471,1285231
12/27/2023,3799,3818.199951,3768,3811.199951,3766.247559,1293976
12/28/2023,3824,3838,3792.100098,3799.899902,3755.080811,1682889
12/29/2023,3792,3822.600098,3765.399902,3793.399902,3748.657715,1574996
1/1/2024,3790,3832,3773,3811.100098,3766.148926,825907
1/2/2024,3811.100098,3811.100098,3767.25,3783.199951,3738.577881,1344068
1/3/2024,3767,3771.850098,3687.050049,3691.75,3648.206543,1803075
1/4/2024,3701.75,3719,3651,3666.800049,3623.550781,3598144
1/5/2024,3675,3747.75,3674.850098,3737.899902,3693.812256,1963127
1/8/2024,3737.899902,3739.75,3672.399902,3678.300049,3634.915283,1067805
1/9/2024,3709.949951,3752.350098,3682.75,3689.899902,3646.378418,1370944
1/10/2024,3690,3729.25,3688,3713.050049,3669.255371,1292227
1/11/2024,3724,3773,3707,3735.550049,3691.48999,1777909
1/12/2024,3848,3905.25,3821.600098,3882.800049,3837.003174,6813450
1/15/2024,3960,3965,3885,3903.800049,3857.755615,2801505
1/16/2024,3899,3899,3855.550049,3861.300049,3815.756836,1432672
1/17/2024,3819,3909.949951,3812.550049,3884.600098,3838.781982,3458696
1/18/2024,3898,3908.800049,3862,3902.600098,3856.569824,2239110
1/19/2024,3945,3963.550049,3915.050049,3943.050049,3914.598145,2941975
1/23/2024,3900,3933.899902,3842.75,3858.25,3830.409912,2618854
1/24/2024,3880,3883.649902,3805.600098,3841.800049,3814.078613,2657709
1/25/2024,3839.899902,3861,3778.699951,3810.300049,3782.805908,2205154
1/29/2024,3800.800049,3820,3780.850098,3801,3773.572998,1646747
1/30/2024,3807.449951,3847.800049,3787,3800.550049,3773.126221,1411621
1/31/2024,3811.199951,3834,3796.449951,3815.949951,3788.415039,2459358
2/1/2024,3820,3904.899902,3805.050049,3854.149902,3826.339355,2363107
2/2/2024,3875.050049,3984.399902,3872,3966.300049,3937.680176,2826510
2/5/2024,3983,4022,3962.100098,3973.300049,3944.629639,1691523
2/6/2024,3997,4149.899902,3990,4136,4106.155762,4474396
2/7/2024,4153,4155,4073.949951,4083.399902,4053.935059,2124267
2/8/2024,4090,4158,4086.050049,4134.100098,4104.269531,2345173
2/9/2024,4136.549805,4184.75,4100,4133.700195,4103.872559,2100596
2/12/2024,4130,4159.600098,4105.549805,4120.700195,4090.966309,1013716
2/13/2024,4125.450195,4170,4081.5,4149.5,4119.558105,1257415
2/14/2024,4107,4114.899902,4049.5,4100.100098,4070.514893,1391283
2/15/2024,4128,4146.299805,4083,4103.200195,4073.592529,1091582
2/16/2024,4113.25,4147.950195,4100.100098,4128.299805,4098.51123,1307556
2/19/2024,4123.049805,4128.299805,4055,4103.799805,4074.187744,772291
2/20/2024,4082.100098,4098,4010,4030.649902,4001.565674,1193648
2/21/2024,4013,4063.350098,3980.600098,3991.5,3962.698486,1885939
2/22/2024,3971,4094.949951,3971,4087.100098,4057.608643,2982052
2/23/2024,4130,4130,4046.399902,4052.100098,4022.861084,2538072
2/26/2024,4036,4050,3982.75,4001.050049,3972.179443,1379284
2/27/2024,3999,4124,3999,4104.399902,4074.783691,2960475
2/28/2024,4095.600098,4154.899902,4089,4118.950195,4089.229004,1939225
2/29/2024,4099,4138.100098,4064.550049,4095.100098,4065.551025,3772719
3/1/2024,4107.200195,4140,4086.800049,4094.350098,4064.806396,2043265
3/4/2024,4105,4117.899902,4075.899902,4080.699951,4051.254639,1749271
3/5/2024,4062,4064,3980,4012.100098,3983.149902,2070859
3/6/2024,3994.050049,4072,3958.449951,4064.300049,4034.973145,1744204
3/7/2024,4065,4124,4037.699951,4108.600098,4078.953613,2688905
3/11/2024,4089,4153,4089,4122.350098,4092.604248,2304068
3/12/2024,4122.350098,4229.950195,4121.049805,4192.25,4162,4039801
3/13/2024,4205,4241,4131.899902,4149,4119.062012,2837260
3/14/2024,4153.450195,4225,4086,4207.600098,4177.239258,2919608
3/15/2024,4192.600098,4239,4177,4219.25,4188.805176,3373143
3/18/2024,4215.25,4254.75,4117.850098,4152.5,4122.536621,1526904
3/19/2024,4051.25,4058,3966.600098,3977.300049,3948.60083,8931209
3/20/2024,3986,4018,3960.199951,3970.899902,3942.246826,1817913
3/21/2024,3990.050049,4008.399902,3948,3972.949951,3944.282227,3829582
3/22/2024,3897,3938,3855,3910.899902,3882.679932,5852485
3/26/2024,3875,3946.699951,3871.449951,3877.5,3849.520996,3440925
3/27/2024,3888.5,3895,3829.399902,3840.899902,3813.185059,1968575
3/28/2024,3850.100098,3915,3840.5,3876.300049,3848.32959,4311783
4/1/2024,3897.699951,3933.300049,3888.050049,3916.75,3888.487793,1569676
4/2/2024,3890,3909.850098,3873,3883.800049,3855.775635,2142666
4/3/2024,3851,3981,3851,3947.300049,3918.817383,3973090
4/4/2024,3975.899902,4028.649902,3935.25,4003.300049,3974.41333,3394637
4/5/2024,3978,4002,3960.5,3979.25,3950.536865,1636819
4/8/2024,3983,4032.649902,3960,3972.550049,3943.885254,2302538
4/9/2024,3984,4015.850098,3925.050049,3946.550049,3918.072754,1876992
